,single_q,double_q,dashes,braces,spaces,badwords_count,class,Cluster
165,0,0,0,0,0,0,bad,Cluster 0
166,0,0,0,0,0,0,bad,Cluster 0
167,0,0,0,0,0,0,bad,Cluster 0
168,0,0,0,0,0,0,bad,Cluster 0
169,0,0,0,0,0,0,bad,Cluster 0
170,0,0,0,0,0,0,bad,Cluster 0
171,0,0,0,0,0,0,bad,Cluster 0
172,0,0,0,0,0,0,bad,Cluster 0
173,0,0,0,0,0,0,bad,Cluster 0
174,0,0,0,0,0,0,bad,Cluster 0
175,0,0,0,0,0,0,bad,Cluster 0
176,0,0,0,0,0,0,bad,Cluster 0
177,0,0,0,0,1,0,bad,Cluster 0
178,0,0,0,0,1,0,bad,Cluster 0
179,0,0,0,0,3,0,bad,Cluster 0
180,0,0,0,0,0,0,bad,Cluster 0
181,0,0,0,0,0,0,bad,Cluster 0
182,0,0,0,0,0,0,bad,Cluster 0
183,0,0,0,0,0,0,bad,Cluster 0
184,0,0,0,0,0,1,bad,Cluster 0
185,0,0,0,0,7,1,bad,Cluster 0
186,0,0,0,0,0,2,bad,Cluster 0
187,0,0,0,0,0,0,bad,Cluster 0
188,0,0,0,0,0,0,bad,Cluster 0
189,0,0,0,0,0,0,bad,Cluster 0
190,0,0,0,0,7,1,bad,Cluster 0
191,0,0,0,0,0,0,bad,Cluster 0
192,0,0,0,0,0,1,bad,Cluster 0
193,0,0,0,0,0,1,bad,Cluster 0
194,0,0,0,0,0,2,bad,Cluster 0
195,0,0,0,0,0,1,bad,Cluster 0
196,0,0,0,0,7,1,bad,Cluster 0
197,0,0,0,0,0,0,bad,Cluster 0
198,0,0,0,0,0,1,bad,Cluster 0
199,0,0,0,0,0,1,bad,Cluster 0
200,0,0,0,0,0,1,bad,Cluster 0
201,0,0,0,0,0,1,bad,Cluster 0
202,0,0,0,0,7,1,bad,Cluster 0
203,0,0,0,0,0,1,bad,Cluster 0
204,0,0,0,0,0,2,bad,Cluster 0
205,0,0,0,0,0,1,bad,Cluster 0
206,0,0,0,0,0,1,bad,Cluster 0
207,0,0,0,0,0,1,bad,Cluster 0
208,0,0,0,0,0,1,bad,Cluster 0
209,0,0,0,0,7,0,bad,Cluster 0
210,0,0,0,0,0,1,bad,Cluster 0
211,0,0,0,0,0,1,bad,Cluster 0
212,0,0,0,0,0,1,bad,Cluster 0
213,0,0,0,0,0,1,bad,Cluster 0
214,0,0,0,0,7,0,bad,Cluster 0
215,0,0,0,0,0,1,bad,Cluster 0
216,0,0,0,0,0,1,bad,Cluster 0
217,0,0,0,0,1,0,bad,Cluster 0
218,0,0,0,0,0,1,bad,Cluster 0
219,0,0,0,0,0,0,bad,Cluster 0
220,0,0,0,0,0,1,bad,Cluster 0
221,0,0,0,0,0,2,bad,Cluster 0
222,0,0,0,0,0,1,bad,Cluster 0
223,0,0,0,0,0,1,bad,Cluster 0
224,0,0,0,0,0,0,bad,Cluster 0
225,0,0,0,0,7,0,bad,Cluster 0
226,0,0,0,0,0,1,bad,Cluster 0
227,0,0,0,0,0,1,bad,Cluster 0
228,0,0,0,0,1,0,bad,Cluster 0
229,0,0,0,0,0,1,bad,Cluster 0
230,0,0,0,0,0,0,bad,Cluster 0
231,0,0,0,0,0,1,bad,Cluster 0
232,0,0,0,0,7,0,bad,Cluster 0
233,0,0,0,0,0,0,bad,Cluster 0
234,0,0,0,0,0,0,bad,Cluster 0
235,0,0,0,0,0,0,bad,Cluster 0
236,0,0,0,0,0,1,bad,Cluster 0
237,0,0,0,0,0,1,bad,Cluster 0
238,0,0,0,0,3,0,bad,Cluster 0
239,0,0,0,0,0,0,bad,Cluster 0
240,0,0,0,0,0,1,bad,Cluster 0
