single_q,double_q,dashes,braces,spaces,percentages,semicolons,angle_brackets,special_chars,path_length,body_length,badwords_count,Cluster
0,0,0,0,7,0,0,0,0,13,179,0,0
0,0,0,0,7,0,0,0,0,13,124,0,0
0,0,0,0,0,0,0,0,0,8,33,1,1
0,0,0,0,7,0,0,0,0,13,122,0,0
0,0,0,0,7,0,0,0,0,13,124,0,0
0,0,0,0,0,0,0,0,0,8,78,1,1
0,0,0,0,7,0,0,0,0,13,169,0,0
0,0,0,0,0,0,0,0,0,12,44,1,1
0,0,0,0,7,0,0,0,0,13,136,0,0
0,0,0,0,0,0,0,0,0,8,45,1,1
0,0,0,0,7,0,0,0,0,13,136,0,0
0,0,0,0,0,0,0,0,0,12,89,1,0
0,0,0,0,7,0,0,0,0,13,137,0,0
0,0,0,0,0,0,0,0,0,8,45,1,1
0,0,0,0,7,0,0,0,0,13,137,0,0
0,0,0,0,0,0,0,0,0,12,44,1,1
0,0,0,0,7,0,0,0,0,13,159,0,0
0,0,0,0,0,0,0,0,0,8,46,1,1
0,0,0,0,7,0,0,0,0,13,142,1,0
0,0,0,0,0,0,0,0,0,12,89,1,0
0,0,0,0,7,0,0,0,0,13,187,1,0
0,0,0,0,0,0,0,0,0,8,46,1,1
0,0,0,0,7,0,0,0,0,13,142,1,0
0,0,0,0,0,0,0,0,0,12,34,0,1
0,0,0,0,7,0,0,0,0,13,187,1,0
0,0,0,0,0,0,0,0,0,8,68,1,1
0,0,0,0,7,0,0,0,0,13,132,0,0
0,0,0,0,0,0,0,0,0,12,81,0,1
0,0,0,0,7,0,0,0,0,13,179,0,0
0,0,0,0,7,0,0,0,0,13,124,0,0
0,0,0,0,0,0,0,0,0,8,49,2,1
0,0,0,0,0,0,0,0,0,12,26,0,1
0,0,0,0,7,0,0,0,0,13,122,0,0
0,0,0,0,7,0,0,0,0,13,124,0,0
0,0,0,0,0,0,0,0,0,8,94,2,0
0,0,0,0,0,0,0,0,0,12,24,0,1
0,0,0,0,7,0,0,0,0,13,169,0,0
0,0,0,0,7,0,0,0,0,13,136,0,0
0,0,0,0,0,0,0,0,0,8,49,2,1
0,0,0,0,0,0,0,0,0,12,26,0,1
0,0,0,0,7,0,0,0,0,13,136,0,0
0,0,0,0,7,0,0,0,0,13,137,0,0
0,0,0,0,0,0,0,0,0,8,94,2,0
0,0,0,0,7,0,0,0,0,13,137,0,0
0,0,0,0,0,0,0,0,0,12,71,0,1
0,0,0,0,7,0,0,0,0,13,159,0,0
0,0,0,0,0,0,0,0,0,8,39,1,1
0,0,0,0,2,0,0,0,0,13,98,1,0
0,0,0,0,0,0,0,0,0,12,38,0,1
0,0,0,0,2,0,0,0,0,13,143,1,0
0,0,0,0,0,0,0,0,0,8,86,1,0
0,0,0,0,2,0,0,0,0,13,98,1,0
0,0,0,0,0,0,0,0,0,12,38,0,1
0,0,0,0,2,0,0,0,0,13,143,1,0
0,0,0,0,0,0,0,0,0,8,31,1,1
0,0,0,0,2,0,0,0,0,13,88,0,0
0,0,0,0,0,0,0,0,0,12,39,0,1
0,0,0,0,2,0,0,0,0,13,135,0,0
0,0,0,0,2,0,0,0,0,13,80,0,1
0,0,0,0,0,0,0,0,0,8,29,1,1
0,0,0,0,0,0,0,0,0,12,39,0,1
0,0,0,0,2,0,0,0,0,13,78,0,1
0,0,0,0,2,0,0,0,0,13,80,0,1
0,0,0,0,0,0,0,0,0,8,31,1,1
0,0,0,0,0,0,0,0,0,12,61,0,1
0,0,0,0,2,0,0,0,0,13,125,0,0
0,0,0,0,2,0,0,0,0,13,92,0,0
0,0,0,0,0,0,0,0,0,8,76,1,1
0,0,0,0,2,0,0,0,0,13,92,0,0
0,0,0,0,0,0,0,0,0,8,43,1,1
0,0,0,0,2,0,0,0,0,13,93,0,0
0,0,0,0,2,0,0,0,0,13,93,0,0
0,0,0,0,0,0,0,0,0,8,43,1,1
0,0,0,0,2,0,0,0,0,13,115,0,0
0,0,0,0,7,0,0,0,0,13,145,1,0
0,0,0,0,0,0,0,0,0,8,44,1,1
0,0,0,0,7,0,0,0,0,13,190,1,0
0,0,0,0,7,0,0,0,0,13,145,1,0
0,0,0,0,0,0,0,0,0,8,44,1,1
0,0,0,0,7,0,0,0,0,13,190,1,0
0,0,0,0,7,0,0,0,0,13,135,0,0
0,0,0,0,0,0,0,0,0,8,66,1,1
